"source_study","target_study","source_var_name","target_var_name","source_var_label","target_var_label","class_label","match_label"
"ADNI","NACC","MMSE","NACCMMSE","Mini-Mental State Examination (MMSE)","Total MMSE score (using D-L-R-O-W)","identical match",1
"ADNI","NACC","DX","NACCETPR","Participant diagnosis","Primary etiologic diagnosis (MCI); impaired, not MCI; or dementia","identical match",1
"ADNI","NACC","MOCA","MOCATOTS","Montreal Cognitive Assessment (MoCA)","MoCA Total Raw Score ??uncorrected","identical match",1
"ADNI","NACC","PTAU","CSFPTAU","CSF PTAU (Cerebrospinal fluid (CSF) phosphorylated tau (p-tau)","Phosphorylated Tau Protein Measurement","identical match",1
"ADNI","AMED","PTID","ID","Participant ID","patient id","identical match",1
"ADNI","AMED","VISCODE","VISCOD","Visit code","Visit Number","identical match",1
"ADNI","AMED","Age","FHQAGE","Age","Age","identical match",1
"ADNI","AMED","PTGENDER","PTGENDER","Participant Gender ( 1=Male;2=Female)","Participant Gender","identical match",1
"ADNI","AMED","PTEDUCAT","PTEDUCAT","Education","Participant Education","identical match",1
"ADNI","AMED","PTMARRY","PTMARRY","Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown)","Participant Marital Status","identical match",1
"ADNI","AMED","VSHEIGHT","VSHEIGHT","Height","participant height","identical match",1
"ADNI","AMED","VSWEIGHT","VSWEIGHT","weight","participant weight","identical match",1
"ADNI","AMED","PTHOME","PTHOME","Type of Participant residence (1=House (owned or rented); 2=Condo/Co-op (owned); 3=Apartment (rented); 4=Mobile Home; 5=Retirement Community; 6=Assisted Living; 7=Skilled Nursing Facility; 8=Other (specify)","Type of Participant residence","identical match",1
"ADNI","AMED","MOTHAD","FHQMOMAD","If yes, did/does biological mother have Alzheimer's Disease (0=No;1=Yes)?","family history: dimentia mother","identical match",1
"ADNI","AMED","FATHAD","FHQDADAD","If yes, did/does biological father have Alzheimer's Disease? (0=No;1=Yes)","family history: dimentia father","identical match",1
"ADNI","AMED","MH15DRUG","EXABUSE","history of drug abuse (1=Yes; 0=No)","Does the participant have a history of alcohol or substance abuse or dependence within the past 2 years (DSM IV criteria)?","identical match",1
"ADNI","AMED","MH14ALCH","EXABUSE","history of alchol abuse (1=Yes; 0=No)","Does the participant have a history of alcohol or substance abuse or dependence within the past 2 years (DSM IV criteria)?","identical match",1
"ADNI","AMED","FDG","FDGPET score","Average FDG-PET (F-Fluorodeoxyglucose (FDG) PET) of angular, temporal, and posterior cingulate","Average FDG-PET score","identical match",1
"ADNI","EPAD","PTID","patient_id","Participant ID","Patient ID","identical match",1
"ADNI","EPAD","VISCODE","visit","Visit code","Visit Number","identical match",1
"ADNI","EPAD","PTGENDER","sex"," Participant Gender ( 1=Male;2=Female)","What is the sex of the subject?","identical match",1
"ADNI","EPAD","Age","age_years","Age","What is the subject's age?","identical match",1
"ADNI","EPAD","PTEDUCAT","years_education","Education","Number of years of formal education","identical match",1
"ADNI","EPAD","PTMARRY","marital_status","Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown)","Marital status","identical match",1
"ADNI","EPAD","PTETHCAT","ethnicity","Ethnicity (1=Hispanic or Latino; 2=Not Hispanic or Latino; 3=Unknown)","What is the ethnicity of the subject?","identical match",1
"ADNI","EPAD","APGEN1","APOE1","Genotype - Allele 1","Genotype - Allele 1","identical match",1
"ADNI","EPAD","APGEN2","APOE2","Genotype - Allele 1","Genotype - Allele 2","identical match",1
"ADNI","AMED","DX","BCPREDX","Participant diagnosis","Pre-visit Diagnosis","identical match",1
"ADNI","EPAD","DX","dementia_diagnosed","Participant diagnosis","Dementia diagnosed by the participant's physician?","identical match",1
"ADNI","EPAD","CDGLOBAL","cdr_global_score","Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Global CDR Score","identical match",1
"ADNI","EPAD","CDMEMORY","cdr_memory","Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Memory","identical match",1
"ADNI","EPAD","CDORIENT","cdr_orientation","Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Orientation","identical match",1
"ADNI","EPAD","CDJUDGE","cdr_judgement","Clinical Dementia Rating (CDR) Judgment and problem solving (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Judgement and Problem Solving","identical match",1
"ADNI","EPAD","CDCOMMUN","cdr_community_affairs","Clinical Dementia Rating (CDR) Community affairs ","Community Affairs","identical match",1
"ADNI","EPAD","CDHOME","cdr_home_hobbies","Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Home and Hobbies","identical match",1
"ADNI","EPAD","CDCARE","cdr_personal_care","Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Personal Care","identical match",1
"ADNI","EPAD","CDRSB","cdr_sum_of_box","Clinical Dementia Rating (CDR) Sum of Boxes.","CDR Sum of Boxes","identical match",1
"ADNI","AMED","CDGLOBAL","CDGLOBAL","Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Global CDR","identical match",1
"ADNI","AMED","CDMEMORY","CDMEMORY","Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Score <!--Memory-->","identical match",1
"ADNI","AMED","CDORIENT","CDORIENT","Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Score <!--Orientation-->","identical match",1
"ADNI","AMED","CDJUDGE","CDJUDGE","Clinical Dementia Rating (CDR) Judgment and problem solving (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Score <!--Judgment and Problem Solving-->","identical match",1
"ADNI","AMED","CDCOMMUN","CDCOMMUN","Clinical Dementia Rating (CDR) Community affairs ","Score <!--Community Affairs-->","identical match",1
"ADNI","AMED","CDHOME","CDHOME","Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Score <!--Home and Hobbies-->","identical match",1
"ADNI","AMED","CDCARE","CDCARE","Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Score <!--Personal Care-->","identical match",1
"ADNI","AMED","CDRSB","CDRSUM","Clinical Dementia Rating (CDR) Sum of Boxes.","Sum of Boxes","identical match",1
"ADNI","NACC","CDGLOBAL","CDRGLOB","Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Global CDR®","identical match",1
"ADNI","NACC","CDMEMORY","MEMORY","Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Memory","identical match",1
"ADNI","NACC","CDORIENT","ORIENT","Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Orientation","identical match",1
"ADNI","NACC","CDJUDGE","JUDGMENT","Clinical Dementia Rating (CDR) Judgment and problem solving (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Judgment and problem-solving","identical match",1
"ADNI","NACC","CDCOMMUN","COMMUN","Clinical Dementia Rating (CDR) Community affairs ","Community affairs","identical match",1
"ADNI","NACC","CDHOME","HOMEHOBB","Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Home and hobbies","identical match",1
"ADNI","NACC","CDCARE","PERSCARE","Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0)","Personal care","identical match",1
"ADNI","NACC","CDRSB","CDRSUM","Clinical Dementia Rating (CDR) Sum of Boxes.","CDR® sum of boxes","identical match",1
"ADNI","EPAD","GDSATIS","gds_1"," Are you basically satisfied with your life? (1=Yes(0); 0=No(1)","Are you basically satisfied with your life?","identical match",1
"ADNI","EPAD","GDDROP","gds_2","Have you dropped many of your activities and interests?","Have you dropped many of your activities and interests?","identical match",1
"ADNI","EPAD","GDEMPTY","gds_3","Do you feel that your life is empty?","Do you feel that your life is empty?","identical match",1
"ADNI","EPAD","GDBORED","gds_4"," Do you often get bored? ","Do you often get bored?","identical match",1
"ADNI","EPAD","GDSPIRIT","gds_7","Are you in good spirits most of the time?","Are you in good spirits most of the time?","identical match",1
"ADNI","EPAD","GDAFRAID","gds_8","Are you afraid that something bad is going to happen to you?","Are you afraid that something bad is going to happen to you?","identical match",1
"ADNI","EPAD","GDHAPPY","gds_9","Do you feel happy most of the time?","Do you feel happy most of the time?","identical match",1
"ADNI","EPAD","GDHELP","gds_10","Do you often feel helpless?","Do you often feel helpless?","identical match",1
"ADNI","EPAD","GDHOME","gds_12","Do you prefer to stay at home, rather than going out and doing new things?","Do you prefer to stay at home, rather than going out and doing new things?","identical match",1
"ADNI","EPAD","GDMEMORY","gds_14"," Do you feel you have more problems with memory than most?","Do you feel you have more problems with memory than most?","identical match",1
"ADNI","EPAD","GDALIVE","gds_15"," Do you think its wonderful to be alive now?","Do you think it is wonderful to be alive now?","identical match",1
"ADNI","EPAD","GDWORTH","gds_17","Do you feel pretty worthless the way you are now?","Do you feel pretty worthless the way you are now?","identical match",1
"ADNI","EPAD","GDENERGY","gds_21","Do you feel full of energy?","Do you feel full of energy?","identical match",1
"ADNI","EPAD","GDHOPE","gds_22","Do you feel that your situation is hopeless?","Do you feel that your situation is hopeless?","identical match",1
"ADNI","EPAD","GDBETTER","gds_23","Do you think that most people are better off than you are?","Do you think that most people are better off than you are?","identical match",1
"ADNI","EPAD","GDTOTAL","gds_total","Geriatric Depression Scale (GDS)","Geriatric Depression Scale (GDS) Total Score","identical match",1
"ADNI","NACC","GDSATIS","SATIS"," Are you basically satisfied with your life? (1=Yes(0); 0=No(1)","Are you basically satisfied with your life?","identical match",1
"ADNI","NACC","GDDROP","DROPACT","Have you dropped many of your activities and interests?","Have you dropped many of your activities and interests?","identical match",1
"ADNI","NACC","GDEMPTY","EMPTY","Do you feel that your life is empty?","Do you feel that your life is empty?","identical match",1
"ADNI","NACC","GDBORED","BORED"," Do you often get bored? ","Do you often get bored?","identical match",1
"ADNI","NACC","GDSPIRIT","SPIRITS","Are you in good spirits most of the time?","Are you in good spirits most of the time?","identical match",1
"ADNI","NACC","GDAFRAID","AFRAID","Are you afraid that something bad is going to happen to you?","Are you afraid that something bad is going to happen to you?","identical match",1
"ADNI","NACC","GDHAPPY","HAPPY","Do you feel happy most of the time?","Do you feel happy most of the time?","identical match",1
"ADNI","NACC","GDHELP","HELPLESS","Do you often feel helpless?","Do you often feel helpless?","identical match",1
"ADNI","NACC","GDHOME","STAYHOME","Do you prefer to stay at home, rather than going out and doing new things?","Do you prefer to stay at home, rather than going out and doing new things?","identical match",1
"ADNI","NACC","GDMEMORY","MEMPROB","Do you feel you have more problems with memory than most?","Do you feel you have more problems with memory than most?","identical match",1
"ADNI","NACC","GDALIVE","WONDRFUL"," Do you think its wonderful to be alive now?","Do you think it is wonderful to be alive now?","identical match",1
"ADNI","NACC","GDWORTH","WRTHLESS","Do you feel pretty worthless the way you are now?","Do you feel pretty worthless the way you are now?","identical match",1
"ADNI","NACC","GDENERGY","ENERGY","Do you feel full of energy?","Do you feel full of energy?","identical match",1
"ADNI","NACC","GDHOPE","HOPELESS","Do you feel that your situation is hopeless?","Do you feel that your situation is hopeless?","identical match",1
"ADNI","NACC","GDBETTER","BETTER","Do you think that most people are better off than you are?","Do you think that most people are better off than you are?","identical match",1
"ADNI","NACC","GDTOTAL","NACCGDS","Geriatric Depression Scale (GDS)","Total GDS Score","identical match",1
"ADNI","AMED","GDSATIS","GDSATIS","Are you basically satisfied with your life? (1=Yes(0); 0=No(1)","1. Are you basically satisfied with your life?","identical match",1
"ADNI","AMED","GDDROP","GDDROP","Have you dropped many of your activities and interests?","2. Have you dropped many of your activities and interests?","identical match",1
"ADNI","AMED","GDEMPTY","GDEMPTY","Do you feel that your life is empty?","3. Do you feel that your life is empty?","identical match",1
"ADNI","AMED","GDBORED","GDBORED"," Do you often get bored? ","4. Do you often get bored?","identical match",1
"ADNI","AMED","GDSPIRIT","GDSPIRIT","Are you in good spirits most of the time?","5. Are you in good spirits most of the time?","identical match",1
"ADNI","AMED","GDAFRAID","GDAFRAID","Are you afraid that something bad is going to happen to you?","6. Are you afraid that something bad is going to happen to you?","identical match",1
"ADNI","AMED","GDHAPPY","GDHAPPY","Do you feel happy most of the time?","7. Do you feel happy most of the time?","identical match",1
"ADNI","AMED","GDHELP","GDHELP","Do you often feel helpless?","8. Do you often feel helpless?","identical match",1
"ADNI","AMED","GDHOME","GDHOME","Do you prefer to stay at home, rather than going out and doing new things?","9. Do you prefer to stay at home, rather than going out and doing new things?","identical match",1
"ADNI","AMED","GDMEMORY","GDMEMORY"," Do you feel you have more problems with memory than most?","10. Do you feel you have more problems with memory than most?","identical match",1
"ADNI","AMED","GDALIVE","GDALIVE"," Do you think its wonderful to be alive now?","11. Do you think its wonderful to be alive now?","identical match",1
"ADNI","AMED","GDWORTH","GDWORTH","Do you feel pretty worthless the way you are now?","12. Do you feel pretty worthless the way you are now?","identical match",1
"ADNI","AMED","GDENERGY","GDENERGY","Do you feel full of energy?","13. Do you feel full of energy?","identical match",1
"ADNI","AMED","GDHOPE","GDHOPE","Do you feel that your situation is hopeless?","14. Do you feel that your situation is hopeless?","identical match",1
"ADNI","AMED","GDBETTER","GDBETTER","Do you think that most people are better off than you are?","15. Do you think that most people are better off than you are?","identical match",1
"ADNI","AMED","GDTOTAL","GDTOTAL","Geriatric Depression Scale (GDS)","Total Score","identical match",1
"ADNI","AMED","ADAS11","TOTAL11","ADAS 11 (Alzheimer's Disease Assessment Scale 11-item)","ADAS Total 11","identical match",1
"ADNI","AMED","ADAS13","TOTAL13","ADAS 13 (Alzheimer's Disease Assessment Scale 13-item)","ADAS Total 13","identical match",1
"ADNI","NACC","FAQFINAN","BILLS","Functional Activities Questionnaire (FAQ) Writing checks, paying bills, balancing checkbook.","In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook","identical match",1
"ADNI","NACC","FAQFORM","TAXES","Functional Activities Questionnaire (FAQ) Assembling tax records, business affairs, or papers.","In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other paper","identical match",1
"ADNI","NACC","FAQSHOP","SHOPPING","Functional Activities Questionnaire (FAQ) Shopping alone for clothes, household necessities, or groceries.","In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries","identical match",1
"ADNI","NACC","FAQGAME","GAMES","Functional Activities Questionnaire (FAQ) Playing a game of skill, working on a hobby.","In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby","identical match",1
"ADNI","NACC","FAQBEVG","STOVE","Functional Activities Questionnaire (FAQ) Heating water, making a cup of coffee, turning off stove after use.","In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove","identical match",1
"ADNI","NACC","FAQMEAL","MEALPREP","Functional Activities Questionnaire (FAQ) Preparing a balanced meal.","In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal","identical match",1
"ADNI","NACC","FAQEVENT","EVENTS","Functional Activities Questionnaire (FAQ) Keeping track of current events.","In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events","identical match",1
"ADNI","NACC","FAQTV","PAYATTN","Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine","identical match",1
"ADNI","NACC","FAQREM","REMDATES","Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.","In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, holidays, medications","identical match",1
"ADNI","NACC","FAQTRAVL","TRAVEL","Functional Activities Questionnaire (FAQ) Traveling out of neighborhood, driving, arranging to take buses.","In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation","identical match",1
"ADNI","AMED","FAQFINAN","FAQFINAN","Functional Activities Questionnaire (FAQ) Writing checks, paying bills, balancing checkbook.","1. Writing checks, paying bills, or balancing checkbook.","identical match",1
"ADNI","AMED","FAQFORM","FAQFORM","Functional Activities Questionnaire (FAQ) Assembling tax records, business affairs, or papers.","2. Assembling tax records, business affairs, or other papers.","identical match",1
"ADNI","AMED","FAQSHOP","FAQSHOP","Functional Activities Questionnaire (FAQ) Shopping alone for clothes, household necessities, or groceries.","3. Shopping alone for clothes, household necessities, or groceries.","identical match",1
"ADNI","AMED","FAQGAME","FAQGAME","Functional Activities Questionnaire (FAQ) Playing a game of skill, working on a hobby.","4. Playing a game of skill such as bridge or chess, working on a hobby.","identical match",1
"ADNI","AMED","FAQBEVG","FAQBEVG","Functional Activities Questionnaire (FAQ) Heating water, making a cup of coffee, turning off stove after use.","5. Heating water, making a cup of coffee, turing off the stove.","identical match",1
"ADNI","AMED","FAQMEAL","FAQMEAL","Functional Activities Questionnaire (FAQ) Preparing a balanced meal.","6. Preparing a balanced meal.","identical match",1
"ADNI","AMED","FAQEVENT","FAQEVENT","Functional Activities Questionnaire (FAQ) Keeping track of current events.","7. Keeping track of current events.","identical match",1
"ADNI","AMED","FAQTV","FAQTV","Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","8. Paying attention to and understanding a TV program, book, or magazine.","identical match",1
"ADNI","AMED","FAQREM","FAQREM","Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.","9. Remembering appointments, family occasions, holidays, medications.","identical match",1
"ADNI","AMED","FAQTRAVL","FAQTRAVL","Functional Activities Questionnaire (FAQ) Traveling out of neighborhood, driving, arranging to take buses.","10. Traveling out of the neighborhood, driving, or arranging to take public transportation.","identical match",1
"ADNI","AMED","FAQTOTAL","FAQTOTAL","Functional Activities Questionnaire (FAQ) Total Score.","Total Score","identical match",1
"ADNI","NACC","BNTTOTAL","BOSTON","Boston Naming Test (BNT) score","Boston Naming Test (30) ??Total score","identical match",1
"ADNI","NACC","CATANIMSC","ANIMALS","Verbal fluency tests (Semantic) Animal","Animals ??Total number of animals named in 60 seconds","identical match",1
"ADNI","NACC","CATVEGESC","VEG","Verbal fluency tests (Semantic) Vegetable or Fruits","Vegetable ??Total number of vegetables named in 60 seconds","identical match",1
"ADNI","AMED","CLOCKSCOR","CLOCKSCOR","Clock Drawing Test score","Total Score","identical match",1
"ADNI","NACC","HMONSET","ABRUPT","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Abrupt onset (re: cognitive status).","Abrupt onset (re: cognitive status)","identical match",1
"ADNI","NACC","HMSTEPWS","STEPWISE","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Stepwise deterioration (re: cognitive status).","Stepwise deterioration (re: cognitive status)","identical match",1
"ADNI","NACC","HMSOMATC","SOMATIC","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Somatic complaints.","Somatic complaints","identical match",1
"ADNI","NACC","HMEMOTIO","EMOT","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Emotional incontinence.","Emotional incontinence","identical match",1
