source_study,target_study,text1,text2,cosine,rank,mrr,r@1,r@3,r@5,r@10
adni,nacc,Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Orientation,0.40955,70,0.014285714285714285,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) Judgment and problem solving (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Judgment and problem-solving,0.37491,133,0.007518796992481203,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) Community affairs,Community affairs,0.49686,24,0.041666666666666664,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Home and hobbies,0.38934,124,0.008064516129032258,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Personal care,0.37069,128,0.0078125,False,False,False,False
adni,epad,Are you basically satisfied with your life? (1=Yes(0); 0=No(1),Are you basically satisfied with your life?,0.75286,2,0.5,False,True,True,True
adni,epad,Have you dropped many of your activities and interests?,Have you dropped many of your activities and interests?,1.0,1,1.0,True,True,True,True
adni,epad,Do you feel that your life is empty?,Do you feel that your life is empty?,1.0,1,1.0,True,True,True,True
adni,epad,Do you often get bored?,Do you often get bored?,1.0,1,1.0,True,True,True,True
adni,epad,Are you in good spirits most of the time?,Are you in good spirits most of the time?,1.0,1,1.0,True,True,True,True
adni,epad,Are you afraid that something bad is going to happen to you?,Are you afraid that something bad is going to happen to you?,1.0,1,1.0,True,True,True,True
adni,epad,Do you feel happy most of the time?,Do you feel happy most of the time?,1.0,1,1.0,True,True,True,True
adni,epad,Do you often feel helpless?,Do you often feel helpless?,1.0,1,1.0,True,True,True,True
adni,epad,"Do you prefer to stay at home, rather than going out and doing new things?","Do you prefer to stay at home, rather than going out and doing new things?",1.0,1,1.0,True,True,True,True
adni,epad,Do you feel you have more problems with memory than most?,Do you feel you have more problems with memory than most?,1.0,1,1.0,True,True,True,True
adni,epad,Do you think its wonderful to be alive now?,Do you think it is wonderful to be alive now?,0.97118,1,1.0,True,True,True,True
adni,epad,Do you feel pretty worthless the way you are now?,Do you feel pretty worthless the way you are now?,1.0,1,1.0,True,True,True,True
adni,epad,Do you feel full of energy?,Do you feel full of energy?,1.0,1,1.0,True,True,True,True
adni,epad,Do you feel that your situation is hopeless?,Do you feel that your situation is hopeless?,1.0,1,1.0,True,True,True,True
adni,epad,Do you think that most people are better off than you are?,Do you think that most people are better off than you are?,1.0,1,1.0,True,True,True,True
adni,epad,Geriatric Depression Scale (GDS),Geriatric Depression Scale (GDS) Total Score,0.95304,1,1.0,True,True,True,True
adni,nacc,Are you basically satisfied with your life? (1=Yes(0); 0=No(1),Are you basically satisfied with your life?,0.75286,2,0.5,False,True,True,True
adni,nacc,Have you dropped many of your activities and interests?,Have you dropped many of your activities and interests?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you feel that your life is empty?,Do you feel that your life is empty?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you often get bored?,Do you often get bored?,1.0,1,1.0,True,True,True,True
adni,nacc,Are you in good spirits most of the time?,Are you in good spirits most of the time?,1.0,1,1.0,True,True,True,True
adni,nacc,Are you afraid that something bad is going to happen to you?,Are you afraid that something bad is going to happen to you?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you feel happy most of the time?,Do you feel happy most of the time?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you often feel helpless?,Do you often feel helpless?,1.0,1,1.0,True,True,True,True
adni,nacc,"Do you prefer to stay at home, rather than going out and doing new things?","Do you prefer to stay at home, rather than going out and doing new things?",1.0,1,1.0,True,True,True,True
adni,nacc,Do you feel you have more problems with memory than most?,Do you feel you have more problems with memory than most?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you think its wonderful to be alive now?,Do you think it is wonderful to be alive now?,0.97118,1,1.0,True,True,True,True
adni,nacc,Do you feel pretty worthless the way you are now?,Do you feel pretty worthless the way you are now?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you feel full of energy?,Do you feel full of energy?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you feel that your situation is hopeless?,Do you feel that your situation is hopeless?,1.0,1,1.0,True,True,True,True
adni,nacc,Do you think that most people are better off than you are?,Do you think that most people are better off than you are?,1.0,1,1.0,True,True,True,True
adni,nacc,Geriatric Depression Scale (GDS),Total GDS Score,0.76912,2,0.5,False,True,True,True
adni,amed,Are you basically satisfied with your life? (1=Yes(0); 0=No(1),1. Are you basically satisfied with your life?,0.80759,1,1.0,True,True,True,True
adni,amed,Have you dropped many of your activities and interests?,2. Have you dropped many of your activities and interests?,0.88964,1,1.0,True,True,True,True
adni,amed,Do you feel that your life is empty?,3. Do you feel that your life is empty?,0.93234,1,1.0,True,True,True,True
adni,amed,Do you often get bored?,4. Do you often get bored?,0.93727,1,1.0,True,True,True,True
adni,amed,Are you in good spirits most of the time?,5. Are you in good spirits most of the time?,0.92364,1,1.0,True,True,True,True
adni,amed,Are you afraid that something bad is going to happen to you?,6. Are you afraid that something bad is going to happen to you?,0.93793,1,1.0,True,True,True,True
adni,amed,Do you feel happy most of the time?,7. Do you feel happy most of the time?,0.85134,1,1.0,True,True,True,True
adni,amed,Do you often feel helpless?,8. Do you often feel helpless?,0.90572,1,1.0,True,True,True,True
adni,amed,"Do you prefer to stay at home, rather than going out and doing new things?","9. Do you prefer to stay at home, rather than going out and doing new things?",0.94562,1,1.0,True,True,True,True
adni,amed,Do you feel you have more problems with memory than most?,10. Do you feel you have more problems with memory than most?,0.85731,1,1.0,True,True,True,True
adni,amed,Do you think its wonderful to be alive now?,11. Do you think its wonderful to be alive now?,0.85727,2,0.5,False,True,True,True
adni,amed,Do you feel pretty worthless the way you are now?,12. Do you feel pretty worthless the way you are now?,0.92053,1,1.0,True,True,True,True
adni,amed,Do you feel full of energy?,13. Do you feel full of energy?,0.72541,1,1.0,True,True,True,True
adni,amed,Do you feel that your situation is hopeless?,14. Do you feel that your situation is hopeless?,0.88716,1,1.0,True,True,True,True
adni,amed,Do you think that most people are better off than you are?,15. Do you think that most people are better off than you are?,0.87202,1,1.0,True,True,True,True
adni,amed,Geriatric Depression Scale (GDS),Total Score,0.36576,103,0.009708737864077669,False,False,False,False
adni,amed,ADAS 11 (Alzheimer's Disease Assessment Scale 11-item),ADAS Total 11,0.70821,2,0.5,False,True,True,True
adni,amed,ADAS 13 (Alzheimer's Disease Assessment Scale 13-item),ADAS Total 13,0.75137,2,0.5,False,True,True,True
adni,nacc,"Functional Activities Questionnaire (FAQ) Writing checks, paying bills, balancing checkbook.","In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook",0.62941,12,0.08333333333333333,False,False,False,False
adni,nacc,"Functional Activities Questionnaire (FAQ) Assembling tax records, business affairs, or papers.","In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other paper",0.60132,12,0.08333333333333333,False,False,False,False
adni,nacc,"Functional Activities Questionnaire (FAQ) Shopping alone for clothes, household necessities, or groceries.","In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries",0.7102,4,0.25,False,False,True,True
adni,nacc,"Functional Activities Questionnaire (FAQ) Playing a game of skill, working on a hobby.","In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby",0.63428,12,0.08333333333333333,False,False,False,False
adni,nacc,"Functional Activities Questionnaire (FAQ) Heating water, making a cup of coffee, turning off stove after use.","In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove",0.72873,2,0.5,False,True,True,True
adni,nacc,Functional Activities Questionnaire (FAQ) Preparing a balanced meal.,"In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal",0.52599,12,0.08333333333333333,False,False,False,False
adni,nacc,Functional Activities Questionnaire (FAQ) Keeping track of current events.,"In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events",0.46209,46,0.021739130434782608,False,False,False,False
adni,nacc,"Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine",0.62309,10,0.1,False,False,False,True
adni,nacc,"Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.","In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, holidays, medications",0.67142,9,0.1111111111111111,False,False,False,True
adni,nacc,"Functional Activities Questionnaire (FAQ) Traveling out of neighborhood, driving, arranging to take buses.","In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation",0.7092,2,0.5,False,True,True,True
adni,amed,"Functional Activities Questionnaire (FAQ) Writing checks, paying bills, balancing checkbook.","1. Writing checks, paying bills, or balancing checkbook.",0.69096,9,0.1111111111111111,False,False,False,True
adni,amed,"Functional Activities Questionnaire (FAQ) Assembling tax records, business affairs, or papers.","2. Assembling tax records, business affairs, or other papers.",0.70098,4,0.25,False,False,True,True
adni,amed,"Functional Activities Questionnaire (FAQ) Shopping alone for clothes, household necessities, or groceries.","3. Shopping alone for clothes, household necessities, or groceries.",0.82072,1,1.0,True,True,True,True
adni,amed,"Functional Activities Questionnaire (FAQ) Playing a game of skill, working on a hobby.","4. Playing a game of skill such as bridge or chess, working on a hobby.",0.68824,8,0.125,False,False,False,True
adni,amed,"Functional Activities Questionnaire (FAQ) Heating water, making a cup of coffee, turning off stove after use.","5. Heating water, making a cup of coffee, turing off the stove.",0.79821,1,1.0,True,True,True,True
adni,amed,Functional Activities Questionnaire (FAQ) Preparing a balanced meal.,6. Preparing a balanced meal.,0.64474,11,0.09090909090909091,False,False,False,False
adni,amed,Functional Activities Questionnaire (FAQ) Keeping track of current events.,7. Keeping track of current events.,0.59835,10,0.1,False,False,False,True
adni,amed,"Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","8. Paying attention to and understanding a TV program, book, or magazine.",0.70798,5,0.2,False,False,True,True
adni,amed,"Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.","9. Remembering appointments, family occasions, holidays, medications.",0.75485,3,0.3333333333333333,False,True,True,True
adni,amed,"Functional Activities Questionnaire (FAQ) Traveling out of neighborhood, driving, arranging to take buses.","10. Traveling out of the neighborhood, driving, or arranging to take public transportation.",0.78046,1,1.0,True,True,True,True
adni,amed,Functional Activities Questionnaire (FAQ) Total Score.,Total Score,0.56409,11,0.09090909090909091,False,False,False,False
adni,nacc,Boston Naming Test (BNT) score,Boston Naming Test (30) ??Total score,0.75269,1,1.0,True,True,True,True
adni,nacc,Verbal fluency tests (Semantic) Animal,Animals ??Total number of animals named in 60 seconds,0.42601,123,0.008130081300813009,False,False,False,False
adni,nacc,Verbal fluency tests (Semantic) Vegetable or Fruits,Vegetable ??Total number of vegetables named in 60 seconds,0.60754,2,0.5,False,True,True,True
adni,amed,Clock Drawing Test score,Total Score,0.52101,18,0.05555555555555555,False,False,False,False
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Abrupt onset (re: cognitive status).,Abrupt onset (re: cognitive status),0.64366,10,0.1,False,False,False,True
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Stepwise deterioration (re: cognitive status).,Stepwise deterioration (re: cognitive status),0.63758,10,0.1,False,False,False,True
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Somatic complaints.,Somatic complaints,0.47887,16,0.0625,False,False,False,False
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Emotional incontinence.,Emotional incontinence,0.41952,28,0.03571428571428571,False,False,False,False
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History or presence of hypertension.,History or presence of hypertension,0.56838,10,0.1,False,False,False,True
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.,History of stroke,0.53458,10,0.1,False,False,False,True
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological symptoms.,Focal neurological symptoms,0.56672,10,0.1,False,False,False,True
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological signs.,Focal neurological signs,0.5675,10,0.1,False,False,False,True
adni,nacc,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Sum all circled answers for a total score.,Hachinski ischemic score,0.75245,9,0.1111111111111111,False,False,False,True
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Abrupt onset (re: cognitive status).,Abrupt Onset of Dementia,0.50417,15,0.06666666666666667,False,False,False,False
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Stepwise deterioration (re: cognitive status).,Stepwise Deterioration of Dementia,0.46801,28,0.03571428571428571,False,False,False,False
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Somatic complaints.,Somatic Complaints,0.47887,16,0.0625,False,False,False,False
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Emotional incontinence.,Emotional Incontinence,0.41952,28,0.03571428571428571,False,False,False,False
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History or presence of hypertension.,History of Hypertension,0.55834,11,0.09090909090909091,False,False,False,False
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.,History of Stroke,0.53458,10,0.1,False,False,False,True
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological symptoms.,Focal Neurologic Symptoms,0.54039,12,0.08333333333333333,False,False,False,False
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological signs.,Focal Neurologic Signs,0.54264,12,0.08333333333333333,False,False,False,False
adni,nacc,Trail Making Test (TMT) A,Trail Making Test Part A ??Total number of seconds to complete,0.82848,2,0.5,False,True,True,True
adni,nacc,Trail Making Test (TMT) B,Trail Making Test Part B ??Total number of seconds to complete,0.81488,2,0.5,False,True,True,True
adni,nacc,Digit Span Test (Forward),Digit span forward trials correct,0.86965,2,0.5,False,True,True,True
adni,nacc,Digit Span Test (Backward),Digit span backward trials correct,0.89055,2,0.5,False,True,True,True
adni,amed,Trail Making Test (TMT) A,Trail Making Test (TMT) A,1.0,1,1.0,True,True,True,True
adni,amed,Trail Making Test (TMT) B,Trail Making Test (TMT) B,1.0,1,1.0,True,True,True,True
adni,nacc,Depression,Active depression in the last two years,0.66513,4,0.25,False,False,True,True
adni,nacc,Stroke,Stroke,1.0,1,1.0,True,True,True,True
adni,amed,Depression,Clinically relevant depression based on clinical judgement or GDS?,0.57392,24,0.041666666666666664,False,False,False,False
adni,amed,Stroke,Did subject have a stroke?,0.66415,7,0.14285714285714285,False,False,False,True
adni,epad,Depression,Medical History Term,0.50938,73,0.0136986301369863,False,False,False,False
adni,epad,Stroke,Medical History Term,0.50266,90,0.011111111111111112,False,False,False,False
adni,epad,Parkinson Disease,High Level Group Term,0.3395,290,0.0034482758620689655,False,False,False,False
adni,nacc,Parkinson Disease,Parkinson 's disease (PD),0.87256,1,1.0,True,True,True,True
adni,nacc,bipolar or Schizophrenia,Bipolar disorder,0.85512,1,1.0,True,True,True,True
adni,nacc,bipolar or Schizophrenia,Schizophrenia,0.68922,2,0.5,False,True,True,True
adni,nacc,Thyroid,Thyroid disease,0.83063,1,1.0,True,True,True,True
adni,nacc,Vision,"Without corrective lenses, is the subject 's vision functionally normal?",0.38721,278,0.0035971223021582736,False,False,False,False
adni,nacc,Heart Condition,Congestive heart failure,0.6345,3,0.3333333333333333,False,True,True,True
adni,nacc,Heart Rate,Subject resting heart rate (pulse),0.78521,1,1.0,True,True,True,True
adni,epad,Heart Condition,Heart - Abnormal Findings,0.7269,1,1.0,True,True,True,True
adni,epad,Heart Rate,Heart - Results,0.6059,4,0.25,False,False,True,True
adni,epad,Abdominal Discomfort,Abdomen - Results,0.63709,2,0.5,False,True,True,True
adni,epad,Coughing,5e. Cough or snore loudly,0.69824,1,1.0,True,True,True,True
adni,epad,Musculoskeletal Pain,Musculoskeletal - Results,0.60118,4,0.25,False,False,True,True
adni,nacc,Insomnia,Hyposomnia/insomnia history reported at Initial Visit,0.68793,2,0.5,False,True,True,True
adni,nacc,Psychiatric,Other psychiatric disorder,0.70709,2,0.5,False,True,True,True
