source_attribute,target_attribute,similarity
exerciseintolerance_01,exercise_frequency_weekly,0.6624510884284973
ortho_maj,sample_ordinal,0.6620874404907227
patadherent,test_value_range,0.6605856418609619
ep30,epithelioid_cell_percent,0.656146228313446
totalsae,amount,0.6531738042831421
maxbleedingaeseverity,longest_dimension,0.6531066298484802
v126mwtdistance,distance_normal_to_tumor,0.6511363387107849
sample_nr_v3,sample_type_id,0.6488324403762817
fu_yrs,occupation_duration_years,0.6393991708755493
var00002,short_name,0.6379514932632446
changes_bb_06,revision,0.6296441555023193
recurr_stroke,progression_or_recurrence_type,0.6294630169868469
dis_rea_pref03,per_base_sequence_content,0.6231467723846436
lvesd_diff18,inpc_grade,0.6156795620918274
eh_30,proportion_coverage_30x,0.613819420337677
meannyha3_12_ii_01,fragment_mean_length,0.611196756362915
totaldurationrenalfailure_per_year,exposure_duration_years,0.59821617603302
testosteron_bl_median,undescended_testis_history,0.5955062508583069
rs_ratio_v1,a260_a280_ratio,0.5953652262687683
lengthd4ch,read_length,0.5928367376327515
neuropathien,cog_neuroblastoma_risk_group,0.5909483432769775
nonadh_reasonrenalhypo,reason_treatment_not_given,0.5900743007659912
ms_12,msi_score,0.5869029760360718
clbtb_12,clonality,0.5863568782806396
causemedibacterialinfection,pathogenicity,0.583696186542511
lengthd4ch_12,sequence_length_distribution,0.5819529891014099
withdrawn,releasable,0.5743858814239502
uptitration_mg_per_y,therapeutic_target_level,0.5709181427955627
missedtxadj01,proportion_base_mismatch,0.5708763003349304
gal3_bl_med,chipseq_antibody,0.5693361163139343
dayshosp18_infection,days_to_adverse_event,0.5670618414878845
first_rehab,release_date,0.5591761469841003
@6mwt_distance,margin_distance,0.5564321279525757
dayshosp18_pulmonary,days_to_pathology_detail,0.5562622547149658
relatedsae,related_to_files,0.5532712340354919
other_surg_maj,basic_statistics,0.552858293056488
k_4_5_v3,kmer_content,0.5491978526115417
sumcopdasthmaaeseverity,aggregated_somatic_mutations,0.5489899516105652
withdrawn_followup_accept,days_to_last_follow_up,0.5482980012893677
strf_1_1.8,percent_stromal_cells,0.5473669171333313
myxoidedegpost_12,ploidy,0.5448159575462341
visit12_reason2,adverse_event,0.5419522523880005
pulmonalis,primary_disease,0.5405256152153015
analysis_18,analysis_metadata_files,0.538896918296814
bb.3.med,pmid,0.5371924638748169
lymph12,lymphatic_invasion_present,0.5364562273025513
prev_hosp,prior_malignancy,0.5342562794685364
ef_40_55,ajcc_staging_system_edition,0.532925546169281
tp1np_bl_z,ensat_pathologic_t,0.5277285575866699
visit18_reason2,comorbidity,0.5269922018051147
nameofcentre,country_of_residence_at_enrollment,0.5268742442131042
visit3_reason2,nononcologic_therapeutic_agents,0.5244513750076294
bifasciculairblok_18,doi,0.5217861533164978
totaldurationsvt,total_sequences,0.5208494663238525
sumvtaeseverity,somatic_aggregation_workflows,0.52058345079422
otherhdcomment,imaging_findings,0.5194411277770996
wrf_select,selected_normal_low_pass_wgs,0.5188838839530945
start_statin,initial_disease_status,0.5176733136177063
pathologischeqiniiiiiavf,pathology_details,0.5119929909706116
edtabloodtaken,uicc_staging_system_edition,0.5118411183357239
pq_bl,fastq_name,0.5111648440361023
syncope1,synchronous_malignancy,0.5095981359481812
fgf23c_changegroup_bl_v3,somatic_mutation_indexes,0.5043567419052124
linkervorhof_18,workflow_link,0.5026577711105347
helpbl,diagnoses,0.5021916031837463
plgf_bl_z,tumor_ploidy,0.5020994544029236
prevhosp,prior_treatment,0.5020949244499207
number_events_all_hosp,days_to_first_event,0.49996939301490784
uptitration_mg_1,treatment_dose_units,0.4983995854854584
gds_above_4_12,gleason_score,0.49765637516975403
visit3_reason1,first_symptom_prior_to_diagnosis,0.49477213621139526
tp1np_v18,extrathyroid_extension,0.49441343545913696
opmerkingenoverig_12,ajcc_clinical_stage,0.4929772615432739
gpnoncompmisswo1,gleason_grade_tertiary,0.49006620049476624
@24hours,exposure_duration,0.48956888914108276
lvesd_12,double_expressor_lymphoma,0.48322176933288574
famhist,family_histories,0.4830728769302368
loop_mean_1_3,average_read_length,0.4809124767780304
hhd,histone_variant,0.4801620841026306
cancercomment,site_of_resection_or_biopsy,0.4799818694591522
a1hospital,treatment_anatomic_sites,0.47645774483680725
r_v5v6_18,cog_rhabdomyosarcoma_risk_group,0.47593191266059875
hepatomegaly_bl01,hepatitis_sustained_virological_response,0.475411981344223
ms_18,msi_status,0.4736325740814209
hist_mi,inpc_histologic_group,0.4731350839138031
gout,barretts_esophagus_goblet_cells_present,0.4682766795158386
estimatedduration,treatment_outcome_duration,0.4667022228240967
zweittumor,zygosity,0.46510711312294006
meals01,portions,0.46341466903686523
bacterialinfectionaes,contamination,0.4632375240325928
syst_dysfunction,non_nodal_regional_disease,0.46317362785339355
causemedipsychiatric,ann_arbor_b_symptoms_described,0.46017399430274963
k_measured_at_fu,karnofsky_performance_status,0.4595929980278015
gdf15_bl_med_syst,morphology,0.45738571882247925
bb_at_v18,breslow_thickness,0.4529759883880615
nbnp_5000_9000,ajcc_clinical_n,0.45251867175102234
goodreason1,per_sequence_quality_score,0.4487978219985962
frequentie,treatment_frequency,0.44730159640312195
jv18,iss_stage,0.4463709890842438
blbb,per_base_n_content,0.4460599720478058
goutaes,goblet_cells_columnar_mucosa_present,0.4454197883605957
endostatinv12,workflow_end_datetime,0.44467291235923767
aathoraxdim,intermediate_dimension,0.44291743636131287
mimecanv3,file_name,0.4388415217399597
fluid_retention_12_01,analyte_volume,0.43852323293685913
pathologischeqinavli_12,ajcc_pathologic_stage,0.43699324131011963
lvesd_18,double_hit_lymphoma,0.43691566586494446
relpossulcerdisease,released,0.4360387623310089
sst2_bl_median,fragment_standard_deviation_length,0.4359986186027527
efgeschätzt_12,encoding,0.43591025471687317
tp1np_bl,ajcc_clinical_t,0.4326123893260956
causemedihypokalemia,risk_factor,0.43245214223861694
rekonstruierbar_18,flow_cell_barcode,0.4300273656845093
opn_bl_100,ovarian_surface_involvement,0.4276329278945923
red_mem01,channel,0.42719003558158875
rg18,rhabdoid_percent,0.42685961723327637
lost,days_to_lost_to_followup,0.4261573553085327
subvalvgradient_12,data_subtypes,0.42603516578674316
k41_atbl,mitosis_karyorrhexis_index,0.42600899934768677
poor_outcome_after6m,treatment_outcome,0.42549651861190796
allow_fu,status,0.422627717256546
duur_p_v1,proportion_reads_duplicated,0.4224502146244049
rales3_01,radiosensitizing_agent,0.42155057191848755
duur_p_v1_a,sequence_duplication_levels,0.4203619360923767
opmerkingenoverig,largest_extrapelvic_peritoneal_focus,0.41893085837364197
si_qiii,respirable_crystalline_silica_exposure,0.41679778695106506
patientnumber,other_clinical_attributes,0.4165537357330322
living,vital_status,0.416449636220932
rales18,radon_exposure,0.41564762592315674
ras.pca2.med,tissue_microarray_coordinates,0.4128424823284149
transferrin_bl_median,copy_number_liftover_workflows,0.41187700629234314
ti_18,uicc_clinical_t,0.41065657138824463
igfbp7.bl_01,igcccg_stage,0.41000139713287354
c1witnessedarr,child_pugh_classification,0.4098823666572571
missedvisits,proc_internal,0.40953341126441956
recording_12,transcript,0.4091532528400421
daysicu18_bleeding,blood_test_normal_range_lower,0.4063696265220642
bb_at_v1,bcr_id,0.4053769111633301
eotherpriorvascevent,preservation_method,0.4045432209968567
fluid_retention_18_01,biospecimen_volume,0.4010813534259796
name_18,demographics,0.40057510137557983
fulim_old,is_legacy,0.3974873423576355
hygiene,peritoneal_washing_results,0.3947601020336151
any_increase_ras_06,growth_rate,0.3946123421192169
sodium,analyte_quantity,0.3940925598144531
allergien,exposure_type,0.3933766782283783
anemia_severe01_bl,blood_test_normal_range_upper,0.3931128680706024
testosteron_bl,undescended_testis_corrected,0.3928418457508087
meals,portion_number,0.3924182951450348
housework,occupation_type,0.39190995693206787
firstconstipationae,columnar_mucosa_present,0.3910558819770813
mn12,ensat_clinical_m,0.39018648862838745
perc_plgf_bl_12,peritoneal_fluid_cytological_status,0.3885302245616913
bb.pca2.med,tumor_level_prostate,0.3883502781391144
@6mwt_effort,ecog_performance_status,0.3877490758895874
verdicktemitralsegelant_12,analytes,0.38717520236968994
opn_bl_z,oxygen_use_indicator,0.38568827509880066
name_12,namespace,0.38496533036231995
loop_at_v18,number_of_cycles,0.3842884600162506
nocturia_bl01,percent_neutrophil_infiltration,0.3817335367202759
mem8_bl,uicc_clinical_m,0.3806852102279663
ivrt,inss_stage,0.3780040144920349
nonadh_anytime,workflow_start_datetime,0.3774811327457428
subvalvgradient_18,submitter_id,0.3772897720336914
tdierv_12,copy_number_variation_workflows,0.37689465284347534
linkervorhof,related_files,0.37537962198257446
comp_packer_minn_12,pack_years_smoked,0.3736395835876465
hepatomegaly,histologic_progression_type,0.3733498454093933
visit18_lbbb,total_reads,0.3723130524158478
reapref18,archives,0.37218591570854187
withdrawal_12,lymph_nodes_removed,0.37194687128067017
d_cysc_18_01,dlco_ref_predictive_percent,0.3715038001537323
reaprefbl_yes_no,diagnosis_pathologically_confirmed,0.37127187848091125
rekonstruierbar_12,multiplex_barcode,0.3708202838897705
tranferrin_delta_bl_v6,chromosomal_translocation,0.3700876832008362
opn_v6_imputed,oxygen_use_type,0.3664432764053345
tnnt2_02,submitted_tangent_copy_numbers,0.3657923638820648
ralängs,ethnicity,0.36366283893585205
d_hr_sup_standing,therapeutic_level_achieved,0.3623626232147217
cerebrovascaes,supratentorial_localization,0.3623599410057068
downtitration_18,minor_version,0.360294908285141
gpl2_corr_bl_10groups,gleason_grade_group,0.3598187565803528
laxativum,prostatic_involvement_percent,0.35833871364593506
nitratat_bl,uicc_clinical_n,0.3578992187976837
aread2ch_18,body_surface_area,0.3567166328430176
eprecedingarrhythmia,category,0.35488131642341614
numberhosp18_infection,hiv_viral_load,0.3537863790988922
fgf23_pg_bl,gleason_patterns_percent,0.3526495099067688
rekonstruierbar,target_capture_kit,0.35251161456108093
laquer_12,locus,0.35093432664871216
diuretics.pca2.med,papillary_renal_cell_type,0.34810423851013184
bnp12_reached,therapeutic_levels_achieved,0.3472041189670563
sam_12,sarcomatoid_percent,0.34579935669898987
ralängs_18,transglottic_extension,0.34562861919403076
prolaps,days_to_progression,0.3454342484474182
mem8_12,ajcc_clinical_m,0.34288808703422546
hct,viral_hepatitis_serologies,0.3426426947116852
bypass,masked_somatic_mutations,0.34181880950927734
causemediall,treatment_intent_type,0.3416941165924072
edemahistory_01,days_to_last_known_disease_status,0.34141045808792114
tto_responding,classification,0.34119975566864014
lafläche_12,loci_count,0.3410545885562897
d_cysc_1_01,dysplasia_type,0.33988717198371887
relpossvascular,measurement_type,0.33520030975341797
macmm_12,uicc_pathologic_m,0.33413058519363403
ep_hosp_card,chip_id,0.3337562680244446
eothernonvascevent,first_event,0.3334587514400482
transferrin_v18,methylation_liftover_workflows,0.3328462839126587
fu_months,intended_release_date,0.3320067524909973
nyha12_improved,weiss_assessment_score,0.33174067735671997
any_new_spiro,tumor_descriptor,0.3312820494174957
safety_analysis,risk_factor_method_of_diagnosis,0.3311489224433899
xray,submitted_genotyping_arrays,0.33099862933158875
housework01,project,0.3299407958984375
oak_asp_v18,ann_arbor_pathologic_stage,0.3299347758293152
hypertensionaes,adrenal_hormone,0.3294117748737335
predicted_tto_33,tumor_regression_grade,0.3289821147918701
bnp6_2400,is_ffpe,0.32683122158050537
low_voltage_extr,no_matched_normal_low_pass_wgs,0.3251226246356964
traumafallaes,lesions_treated_number,0.324925035238266
delta_tp1np_bl_12,ajcc_pathologic_t,0.3232453167438507
biplan,read_pair_number,0.32201531529426575
lvot_12,in_review,0.32121163606643677
block_18,time_between_clamping_and_freezing,0.3190140724182129
oak_asp_bl,ann_arbor_clinical_stage,0.31887176632881165
typaorta_18,data_type,0.3182046711444855
totaldurationpsychiatric,timepoint_category,0.3157341480255127
barbed,library_strand,0.31548160314559937
firsthypokalemiaae,histone_family,0.3153764605522156
cad,figo_stage,0.3142692446708679
pc1,prostatic_chips_total_count,0.3135914206504822
syncope01,aligned_reads_indexes,0.3131820857524872
costs_other_surgery,method_of_sample_procurement,0.3110324740409851
main_cad,imaging_result,0.310335636138916
hyperthyreose,biospecimen_supplements,0.3086756467819214
backpain,residual_tumor,0.30858343839645386
visite_ext_home,sites_of_involvement,0.3052251935005188
visits_#_fu,sites_of_involvement_count,0.30455124378204346
macmm,treatment_arm,0.3038308322429657
numberhosp_hf,base_caller_name,0.3019121289253235
prolaps_18,days_to_progression_free,0.2984095811843872
numberhosp18_cad,oct_embedded,0.2978743016719818
hf_hosp,haart_treatment_indicator,0.29638925194740295
arthrosis,diagnosis_is_primary_disease,0.29554203152656555
vlakkettoppenextremiteitsafleidingen,lost_to_followup,0.2941494584083557
d_nyha1,dysplasia_degree,0.29246529936790466
block,per_tile_sequence_quality,0.29160940647125244
bun_to_crea_bl,pancreatitis_onset_year,0.2909121513366699
bnp18decrease_blmedian,dbgap_accession_number,0.28945085406303406
numberhosp18_pulmonary,smoking_frequency,0.2885020077228546
prea_bl,library_preparation_kit_version,0.28479525446891785
avblock,freezing_method,0.2847294807434082
prod_cough01,projects,0.28454241156578064
memory12_group,chip_position,0.28450706601142883
prea_v18,library_preparation_kit_catalog_number,0.28138843178749084
bandid,instrument_model,0.2796568274497986
totaldurationanemia,time_between_excision_and_freezing,0.2788776755332947
asthma,secondhand_smoke_as_child,0.27732929587364197
socialstatus,genomic_profile_harmonization_workflows,0.2761480212211609
pvd_12,aliquot_volume,0.27548307180404663
predicted_tto_20,copy_number_estimates,0.27172648906707764
lafläche_18,loci_abnormal_count,0.27142977714538574
gdf_increase_bl_6,magnification,0.27107807993888855
pvs_18,hpv_positive_type,0.270248681306839
preserved_lvef,residual_disease,0.26673051714897156
macvisuell,uicc_pathologic_stage,0.263593852519989
osteoporosis,menopause_status,0.2598949670791626
pp_40,protein_expressions,0.2592616379261017
confession,consent_type,0.2579536437988281
totaldurationtraumafall,average_insert_size,0.2531782388687134
end_organ_damage,mismatch_repair_mutation,0.2528685927391052
strf_logferritin_18_1.5,pathology_report_uuid,0.25190049409866333
jugularvein_bl01,eye_color,0.2515394985675812
il6_v3,uicc_clinical_stage,0.2512751519680023
numberhosp18_trauma,percent_inflam_infiltration,0.24853326380252838
endostatinv1,reason_treatment_ended,0.24842163920402527
sst2_log2_v12,coal_dust_exposure,0.24803893268108368
comp_eplim_packer,library_preparation_kit_vendor,0.246612086892128
mimican_blall_50,copy_number,0.24393363296985626
net_change_spiro_bl_6,simple_somatic_mutations,0.2428676038980484
mod_recode,recist_targeted_regions_number,0.24211713671684265
vcigestaut_18,major_version,0.2414371371269226
any_hyper_k60,clark_level,0.23751984536647797
ulcerdiseaseae_per_year,necrosis_percent,0.23699355125427246
costs_procedures_18,procedures_performed,0.23448124527931213
igfbp7_v6_100,ishak_fibrosis_score,0.23306144773960114
svtaes,percent_sarcomatoid_features,0.23296476900577545
hdl,md5sum,0.22685003280639648
hypertrophy_bl,extrascleral_extension,0.22625413537025452
urea_delta_bl_v6,fragmentation_enzyme,0.22576361894607544
loop_atv3,irs_stage,0.22526466846466064
spiro.pca.3.compl_poor,normal_tumor_genotype_snp_match,0.2230471521615982
delta_cysc_bl_18,passage_count,0.22076331079006195
ace_di_02,analyte_type_id,0.2203775942325592
roc_hfref_hfpef,risk_factors,0.21803782880306244
creatinine,mutation_codon,0.21768170595169067
voltage_r_v5v6_18,tumor_grade,0.2088157683610916
gradientmeanaortenklappe_18,primary_gleason_grade,0.20826460421085358
hoogste_complex_extr_voltage_18,tumor_grade_category,0.20808885991573334
sinus_vhf_pm,spectrophotometer_method,0.2051006704568863
d_memory_bl_18,file_size,0.20436739921569824
pacemaker_12,mirna_expressions,0.20072613656520844
spiro_increase_12,peripancreatic_lymph_nodes_positive,0.18989767134189606
pet02,relationship_primary_diagnosis,0.18616549670696259
stroke01,lane_number,0.1845918446779251
endostatin_blall250,scan_tracer_used,0.18433082103729248
opmerkingenoverig_18,tumor_depth_descriptor,0.18411894142627716
bun_to_crea_v1,target_capture_kit_target_region,0.17273779213428497
la_overbelastingb_18,contamination_error,0.1323775351047516
la_overbelastingb,error_type,0.11742669343948364
goodreason18,relationship_gender,0.0
oak_bl,ann_arbor_b_symptoms,0.0
costs_inhospital,relative_deceased,0.0
d_qrs_bl_12,first_symptom_longest_duration,0.0
rales1_01,uicc_pathologic_t,0.0
aantalsves,contiguous_organ_invaded,0.0
bnp_3_5000,measurement_unit,0.0
rales_01,progression_or_recurrence,0.0
pet01,country_of_birth,0.0
jv12,metastasis_at_diagnosis_site,0.0
la_overbelasting,proportion_base_mismatch,-0.001244126505128117
la_overbelasting_18,proportion_base_mismatch,-0.0012813564689988502
la_overbelasting_12,proportion_base_mismatch,-0.00132090036265251
ba_overbelastingb,proportion_base_mismatch,-0.001326167468750072
ba_overbelasting,proportion_base_mismatch,-0.0014649193280590132
spiro_decrease_bl,karnofsky_performance_status,-0.0016404714203378014
dog_or_cat_bl,clark_level,-0.0016539195768370083
ba_overbelastingb_12,proportion_base_mismatch,-0.0016705292111382122
ba_overbelastingb_18,blood_test_normal_range_upper,-0.00168304596783564
costst_digoxine_lim,oxygen_use_type,-0.001687751532582936
spiro_decrease_bl_3,secondhand_smoke_as_child,-0.0016950294120182477
dog_bl,read_group_qcs,-0.0016957436319086129
st_depression_any,primary_disease,-0.0016968970681956457
spiro_decrease_1,blood_test_normal_range_lower,-0.0017020861655759004
costs_spironolactone_lim,amount,-0.0017061280491543552
bun_to_crea_v6,target_capture_kit_target_region,-0.0017070146774160453
bun_to_crea_v3,target_capture_kit_target_region,-0.0017305270208234102
bun_to_crea_v12,target_capture_kit_target_region,-0.001741223928242179
bun_to_crea_v18,target_capture_kit_target_region,-0.001744894890993593
ba_overbelasting_12,proportion_base_mismatch,-0.0017697517465150136
steps_increase_spiro_bl_6,peripancreatic_lymph_nodes_positive,-0.0017820529927482854
costs_procedures_lim,amount,-0.0017975264923067622
ba_overbelasting_18,blood_test_normal_range_upper,-0.001801290944104599
gradientmaxaortenklappe,gleason_patterns_percent,-0.0018044615279825464
spiro_decrease_3,blood_test_normal_range_lower,-0.00180995841072992
spiro_decrease_6,blood_test_normal_range_lower,-0.0018262555548580976
gradientmaxaortenklappe_12,gleason_patterns_percent,-0.0018277755107021282
gradientmaxaortenklappe_18,gleason_patterns_percent,-0.0018387023465386409
spiro_min_bl_1,sarcomatoid_percent,-0.0018420819148596468
spiro_min_3_6,sarcomatoid_percent,-0.001852747102780522
spiro_decrease_12,blood_test_normal_range_lower,-0.0018532119679577827
p_voltage_v1,analyte_volume,-0.001858166432114386
loop_at_v12,year_of_follow_up,-0.001858181457139704
p_voltage_v1_a,tumor_level_prostate,-0.0018607455763593641
bnp_costs_lim,breslow_thickness,-0.0018695019789931326
anorexia_bl01,primary_disease,-0.0018707983806725845
p_voltage_v1_a_18,analyte_volume,-0.001870925258664158
spiro_increase_06,peripancreatic_lymph_nodes_positive,-0.0018717595269891344
loop_at_bl,year_of_follow_up,-0.0018744875555758993
ras_and_spiro_v1,sarcomatoid_percent,-0.001877223627863087
ras_and_spiro_v12,sarcomatoid_percent,-0.0018860627440200704
p_voltage_v1_12,hpv_positive_type,-0.0018889994535140288
hoogste_complex_precordiaal_voltage_18,centers,-0.0018894797990204049
ras_and_spiro_v18,blood_test_normal_range_upper,-0.001896564629645571
ras_and_spiro_v3,rin,-0.0018970880772447782
p_voltage_v1_18,tumor_level_prostate,-0.0018990226630804107
spiro_increase_bl_3,secondhand_smoke_as_child,-0.0018990583285445491
costs_nh_lim,ecog_performance_status,-0.0019046801163003738
spiro_increase_1,peripancreatic_lymph_nodes_positive,-0.0019083463742458804
spiro_increase_6,peripancreatic_lymph_nodes_positive,-0.001910831118836841
spiro.2.med,sarcomatoid_percent,-0.0019138015208118152
p_voltage_v1_a_12,hpv_positive_type,-0.001914497832086145
costs_xray_lim,ecog_performance_status,-0.0019177713146223303
spiro_increase_bl,growth_rate,-0.001918088661369197
bundeltakblok_12,state,-0.0019202589428040085
spiro_increase_3,peripancreatic_lymph_nodes_positive,-0.0019205955640783031
hoogste_complex_precordiaal_voltage,tumor_grade,-0.0019230142896186242
p_voltage_ii,hpv_positive_type,-0.0019256920830197303
depressionae_per_year,comorbidities,-0.0019270708946865318
mchc_12,viral_hepatitis_serologies,-0.001928287314665554
costs_outpatient,ecog_performance_status,-0.001929312355281688
loop_at_v1,days_to_last_follow_up,-0.0019293325404167111
mch_12,histone_variant,-0.0019317239477291814
loop_at_v6,days_to_last_follow_up,-0.0019335046408812545
spiro.3.med,smoking_frequency,-0.00193818410154416
group_spiro_delta,percent_sarcomatoid_features,-0.001938788137915527
spiro.1.med,sarcomatoid_percent,-0.0019414434696626223
criterium_p_voltage_ii_18,tumor_grade_category,-0.0019422144507597443
spiro.pca1.med,hpv_positive_type,-0.0019429139491606566
loop_80_or_more_bl,days_to_last_follow_up,-0.0019457485188360396
p_voltage_ii_18,tumor_level_prostate,-0.001947772799519782
framingham_congestionscore_18,classification,-0.001956290471195721
costs_total_lim2,ecog_performance_status,-0.001956989210756971
p_voltage_ii_12,hpv_positive_type,-0.0019570368658877774
hoogste_complex_extr_voltage_12,tumor_grade,-0.001964250699255572
framingham_congestionscore_3,classification,-0.0019710007298216338
hoogste_complex_precordiaal_voltage_12,tumor_grade_category,-0.0019712276228807278
depressionaes,ecog_performance_status,-0.0019743185285941104
ras_and_spiro_bl,blood_test_normal_range_upper,-0.0019746735137882382
coste_rehab_lim,days_to_lost_to_followup,-0.0019793226208646426
criterium_p_voltage_iib_18,aliquot_volume,-0.0019815516364893333
d_igfbp7_bl_6,dysplasia_degree,-0.0019855455614011166
statin_during_study,basic_statistics,-0.0019880142185912317
criterium_p_voltage_ii_12,aliquot_volume,-0.001992141395747754
any_spiro_bl_6,samples,-0.001995427930326135
spiro_group_v12,percent_sarcomatoid_features,-0.0020033735886644654
delta_loop_v3,simple_somatic_mutations,-0.0020050532043734905
framingham_congestionscore_1,classification,-0.0020085836300194056
d_endostatin_bl_6,reason_treatment_ended,-0.0020091697577747374
spiro_group_v3,sarcomatoid_percent,-0.002009758617352854
framingham_congestionscore_bl,classification,-0.002010992490644114
spiro_group_v6,percent_sarcomatoid_features,-0.002015298146889261
costs_loopdiuretics_lim,days_to_lost_to_followup,-0.0020157586107964792
spiro_group_v18,percent_sarcomatoid_features,-0.002016025722357687
delta_loop_v12_01,simple_somatic_mutations,-0.002016150930902003
framingham_congestionscore_12,classification,-0.0020282691450086744
framingham_congestionscore_6,classification,-0.0020287699791859386
pacemaker_18,mirna_expressions,-0.0020295792058020517
statin_dose_bl,percent_sarcomatoid_features,-0.0020318956397558647
loop.pca1.med,library_strand,-0.002035285224760416
gradientmeanpulmonalis,primary_gleason_grade,-0.002036681034435658
spiro_group_v1,sarcomatoid_percent,-0.0020382305850265275
criterium_p_voltage_iib_12,aliquot_volume,-0.0020393793165076526
criterium_p_voltage_ii,aliquot_volume,-0.002039395100372633
d_memory_bl_12,read_length,-0.0020432487917147824
fatigue_bl01,days_to_last_known_disease_status,-0.0020433891770523485
gradientmeanpulmonalis_18,primary_gleason_grade,-0.0020452106957782653
hyper_k_perc,undescended_testis_corrected,-0.0020453595801200523
gradientmeanpulmonalis_12,primary_gleason_grade,-0.002047685878989478
